model	dataset	trained	epoch_no	perturb_mec	sigma	epsilon	clip_norm	batch_size	num_images	restarts	OPTIM	cost_fn	indices	weights	scoring	init	tv	opt_score	psnr	test_mse	feat_mse	target_id	timing	dtype	val_acc	rec_img	gt_img
resnet34	CIFAR10	False	2	ALG_No_Weig	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0166	15.8922	0.4101	6.1769	7862	0:34:40.678885	torch.float32	1.0		
resnet34	CIFAR10	False	2	ALG_No_Weig	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0092	16.6143	0.3473	0.4857	1202	0:21:23.343619	torch.float32	1.0		
resnet34	CIFAR10	False	2	ALG_No_Weig	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0082	25.9489	0.0405	0.0449	3799	0:21:52.765678	torch.float32	1.0		
mnist mlp	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0474	27.9807	0.0168	0.0002	3124	0:02:20.424806	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0455	24.3557	0.0386	0.0017	5287	0:02:30.601018	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0297	23.2066	0.0503	0.0006	7422	0:02:49.036783	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0384	23.5774	0.0462	0.0013	1416	0:03:18.744355	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0411	28.6332	0.0144	0.0001	7144	0:03:03.847589	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0513	26.3434	0.0244	0.0002	7644	0:02:30.172378	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0321	28.9750	0.0133	0.0005	2580	0:02:28.253332	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0411	30.3633	0.0097	0.0006	3047	0:02:27.812804	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0527	20.8246	0.0871	0.0006	5851	0:02:27.482284	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0289	28.3942	0.0152	0.0001	4128	0:02:27.620985	torch.float32	1.0
